Name,ProductGroup,SKU,Barcode,MeasurementUnit,Cost,Markup,Price,Tax,IsTaxInclusivePrice,IsPriceChangeAllowed,IsUsingDefaultQuantity,IsService,IsEnabled,Description,Supplier,ReorderPoint,PreferredQuantity,LowStockWarning,WarningQuantity
BMA VIGURINE 60ml,,216,8964002419562,,0,0,70.0,,1,0,0,0,1,,,,,,
RAHMANIA AKSEER+ HAZMOOM 250ml,,217,nocode,,0,0,120.0,,1,0,0,0,1,,,,,,
WOODWARD GRIPE WATER 150ml,,218,nocode,,0,0,85.0,,1,0,0,0,1,,,,,,
MARHABA ALMOND OIL 50ml,,219,8964000057353,,0,0,380.0,,1,0,0,0,1,,,,,,
MARHABA ALMOND OIL 25ml,,220,8964000057346,,0,0,200.0,,1,0,0,0,1,,,,,,
MARHABA ALMOND OIL 10ml,,221,8964000057339,,0,0,95.0,,1,0,0,0,1,,,,,,
AXE BODY SPRAY APOLLO 150ml,Perfumes & Body Spray,222,6001087364621,,0,0,560.0,,1,0,0,0,1,,,,,,
AXE BODY SPRAY ADRENALIN 150ml,Perfumes & Body Spray,223,6001087364652,,0,0,560.0,,1,0,0,0,1,,,,,,
AXE BODY SPRAY DARK TEMPTATION  150ml,Perfumes & Body Spray,224,8717163640821,,0,0,560.0,,1,0,0,0,1,,,,,,
AXE BODY SPRAY DARK AFRICA  150ml,Perfumes & Body Spray,225,8886467065736,,0,0,560.0,,1,0,0,0,1,,,,,,
AXE BODY SPRAY WILD SPICE  150ml,Perfumes & Body Spray,226,6001087364690,,0,0,560.0,,1,0,0,0,1,,,,,,
AXE BODY SPRAY EXCITE  150ml,Perfumes & Body Spray,227,6001087364638,,0,0,560.0,,1,0,0,0,1,,,,,,
FOGG SCENT IMPRESSIO 100ml,Perfumes & Body Spray,228,8904238300074,,0,0,1850.0,,1,0,0,0,1,,,,,,
FOGG SCENT XPRESSIO 100ml,Perfumes & Body Spray,229,8904238300081,,0,0,1850.0,,1,0,0,0,1,,,,,,
Rumba Perfume TED LAPIDUS 100ml,Perfumes & Body Spray,230,3355992004596,,0,0,2770.0,,1,0,0,0,1,,,,,,
ONE MAN SHOW Perfume 100ML,Perfumes & Body Spray,231,3355991000230,,0,0,2000.0,,1,0,0,0,1,,,,,,
Just Call Me Maxi 100ml,Perfumes & Body Spray,232,5011321830356,,0,0,1950.0,,1,0,0,0,1,,,,,,
ULRIC DE VARENS Perfume UDY For Men 100ml,Perfumes & Body Spray,233,3326240816698,,0,0,1920.0,,1,0,0,0,1,,,,,,
Roger & Gallet OPEN Perfume 100ml,Perfumes & Body Spray,234,3252550115025,,0,0,3120.0,,1,0,0,0,1,,,,,,
